acronym	full_name	country_code	country_name
AAU	ASSOCIATION OF AMERICAN UNIVERSITIES	001	UNITED STATES OF AMERICA
SEA	SENIOR RESEARCH AWARDS	001	UNITED STATES OF AMERICA
SRF	SYNGAP RESEARCH FUND	001	UNITED STATES OF AMERICA
CEP	CRAZY EIGHT INITIATIVE PROGRAM ON CHILDHOOD CANCER PREDISPOSITION	001	UNITED STATES OF AMERICA
DJG	DKMS JOHN HANSEN RESEARCH GRANT	001	UNITED STATES OF AMERICA
YIA	YOUNG INVESTIGATOR AWARD	001	UNITED STATES OF AMERICA
DRA	DAMON RUNYON FELLOWSHIP AWARD	001	UNITED STATES OF AMERICA
IPC	IUPAC-RICHTER PRIZE IN MEDICINAL CHEMISTRY	001	UNITED STATES OF AMERICA
SIP	SCIENCE INCUBATION PROGRAM	001	UNITED STATES OF AMERICA
ENA	ENVIRONMENTAL AND EXERCISE PHYSIOLOGY SECTION IMPACT AWARD	001	UNITED STATES OF AMERICA
LRE	LARGE RESEARCH GRANTS ON EDUCATION	001	UNITED STATES OF AMERICA
AHF	AFTD HOLLOWAY FELLOWSHIPS	001	UNITED STATES OF AMERICA
TPR	THIEME-IUPAC PRIZE	001	UNITED STATES OF AMERICA
PSC	PHD SCHOLARSHIPS	001	UNITED STATES OF AMERICA
AAC	AMERICAN ASSOCIATION OF ANIMAL LABORATORY ACCREDITATION COUNCIL	001	UNITED STATES OF AMERICA
AAS	AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE	001	UNITED STATES OF AMERICA
AOC	ASSOCIATION OF AMERICAN MEDICAL COLLEGES	001	UNITED STATES OF AMERICA
AOF	ASSOCIATION OF BIMOLECULAR RESOURCE FACILITIES	001	UNITED STATES OF AMERICA
TGS	TARGET GRANTS IN MATHEMATICS AND PHYSICAL SCIENCES	001	UNITED STATES OF AMERICA
IFR	ISHLT/O.H. FRAZIER AWARD IN MCS TRANSLATIONAL RESEARCH	001	UNITED STATES OF AMERICA
IEG	ISHLT EXTRACORPOREAL PHOTOPHERESIS IMMUNOMODULATION IN THORACIC TRANSPLANTATION CHALLENGE GRANT	001	UNITED STATES OF AMERICA
IVG	ISHLT/ICCAC VAD COORDINATOR CAREER DEVELOPMENT GRANT	001	UNITED STATES OF AMERICA
OFP	OFFICE FOR HUMAN RESEARCH PROTECTIONS	001	UNITED STATES OF AMERICA
OOP	OFFICE OF SCIENCE AND TECHNOLOGY POLICY	001	UNITED STATES OF AMERICA
CTP	CLINICAL TRIAL AWARDS PROGRAM	001	UNITED STATES OF AMERICA
BGR	BRIDGE GRANTS	001	UNITED STATES OF AMERICA
MCG	MDA CONFERENCE GRANTS	001	UNITED STATES OF AMERICA
MRG	MDA RESEARCH GRANTS	001	UNITED STATES OF AMERICA
MDG	MDA DEVELOPMENT GRANTS	001	UNITED STATES OF AMERICA
EAA	E.W. AL THRASHER AWARDS	001	UNITED STATES OF AMERICA
AFA	AIR FORCE AUDIT AGENCY	001	UNITED STATES OF AMERICA
ECA	EARLY CAREER AWARDS	001	UNITED STATES OF AMERICA
ODA	OUTSTANDING DOCTORAL DISSERTATION AWARD	001	UNITED STATES OF AMERICA
RGD	RESEARCH GRANT FOR DYSFERLINOPATHIES	001	UNITED STATES OF AMERICA
BGA	BRUCE GARDNER MEMORIAL PRIZE FOR APPLIED POLICY ANALYSIS AWARD	001	UNITED STATES OF AMERICA
STA	SCPAB TRANSITION TO INDEPENDENCE AWARD	001	UNITED STATES OF AMERICA
SRA	SCGB TRANSITION TO INDEPENDENCE AWARD	001	UNITED STATES OF AMERICA
DDI	DRUG DISCOVERY INITIATIVE	001	UNITED STATES OF AMERICA
SCS	SCIENTIFIC CONFERENCE ABSTRACT SCHOLARSHIP	001	UNITED STATES OF AMERICA
NLG	NEW LECTURER RESEARCH GRANT	001	UNITED STATES OF AMERICA
OMA	OUTSTANDING MASTER’S THESIS AWARDS	001	UNITED STATES OF AMERICA
AFS	ARMY FEDERAL ACQUISITION REGULATION SUPPLEMENT	001	UNITED STATES OF AMERICA
AOR	AIR FORCE OFFICE OF SCIENTIFIC RESEARCH	001	UNITED STATES OF AMERICA
AFL	AIR FORCE RESEARCH LABORATORY	001	UNITED STATES OF AMERICA
IAC	INSTITUTIONAL ANIMAL CARE AND USE COMMITTEE	001	UNITED STATES OF AMERICA
IEC	INTER-AGENCY ELECTRONIC GRANTS COMMITTEE	001	UNITED STATES OF AMERICA
MBA	MINORITY BUSINESS DEVELOPMENT AGENCY	001	UNITED STATES OF AMERICA
NIS	NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SERVICES	001	UNITED STATES OF AMERICA
NNT	NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY	001	UNITED STATES OF AMERICA
NLB	NATIONAL LABOR RELATIONS BOARD	001	UNITED STATES OF AMERICA
NCA	NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	001	UNITED STATES OF AMERICA
NOR	NOTICE OF PROPOSED RULEMAKING	001	UNITED STATES OF AMERICA
